REQUEST_DATE|SCENARIO_SEQ|REQUEST_SEQ|START_XPOS|END_XPOS|START_YPOS|END_YPOS|SITE_NAME|FA_SEQ|SISUL_CD|DUH_EQUIP_ID|PCI|XPOS|YPOS|CELL_NO|TOWER_HEIGHT|BUILDING_HEIGHT|ANTENNA_NM|ORIENT|E_TILT|MTILT
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌주유소AAU_1|11|2019Y5337|1011958934|773|127-5-59.531|37-30-13.594|0|2|15|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|220|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌AAU_1|11|201930926|1011958934|789|127-6-4.085|37-30-25.021|4|2|30|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|40|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌AAU_3|11|201936889|1011958934|789|127-6-4.085|37-30-25.021|4|2|30|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|260|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌벨루가호텔AAU_3|11|2019Y0680|1011958934|789|127-5-57.11|37-30-21.659|4|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|260|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼학사길AAU_3|11|2019Y1612|1011958935|157|127-5-42.379|37-30-2.63|0|3|15|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|280|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼학사길AAU_1|11|201931087|1011958935|157|127-5-42.379|37-30-2.63|0|3|15|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|80|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼학사길AAU_2|11|2019Y8108|1011958935|157|127-5-42.379|37-30-2.63|0|3|15|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|200|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼전동3AAU_3|11|2019Y0915|1011958935|160|127-5-43.567|37-30-15.668|6|3|15|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|290|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼전동3AAU_2|11|201930993|1011958935|160|127-5-43.567|37-30-15.668|6|3|15|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|170|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼전동3AAU_1|11|201935527|1011958935|160|127-5-43.567|37-30-15.668|6|3|15|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|15|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼학사공원AAU_3|11|2019Y3086|1011958935|161|127-5-45.673|37-30-21.596|8|3|9|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|275|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼학사공원AAU_1|11|2019Y4904|1011958935|161|127-5-45.673|37-30-21.596|8|3|9|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|130|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼학사공원AAU_2|11|2019Y7574|1011958935|161|127-5-45.673|37-30-21.596|8|3|9|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|195|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|백제석촌고분2AAU_3|11|201936401|1011958945|114|127-6-3.803|37-30-7.324|4|2|12|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|260|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|백제석촌고분2AAU_2|11|2019Y1723|1011958945|114|127-6-3.803|37-30-7.324|4|2|12|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|200|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|백제석촌고분2AAU_1|11|2019Y7772|1011958945|114|127-6-3.803|37-30-7.324|4|2|12|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|40|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|백제고분로2AAU_3|11|201932227|1011958945|479|127-5-59.58|37-30-3.68|6|2|9|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|300|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|백제고분로2AAU_2|11|201937097|1011958945|479|127-5-59.58|37-30-3.68|6|2|9|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|180|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|백제고분로2AAU_1|11|2019Y5342|1011958945|479|127-5-59.58|37-30-3.68|6|2|9|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|40|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌벨루가호텔AAU_2|11|201933468|1011958945|931|127-5-57.111|37-30-21.066|8|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|180|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌벨루가호텔AAU_1|11|201935867|1011958945|931|127-5-57.111|37-30-21.066|8|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|90|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|배명야구장2AAU_1|11|2019Y4446|1011958946|140|127-5-49.019|37-29-59.056|2|3|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|50|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|배명야구장2AAU_2|11|2019Y7732|1011958946|140|127-5-49.019|37-29-59.056|2|3|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|130|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|백제고분로AAU_3|11|201930377|1011958946|141|127-5-50.011|37-30-7.062|4|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|320|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|백제고분로AAU_2|11|2019Y4169|1011958946|141|127-5-50.011|37-30-7.062|4|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|150|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|백제고분로AAU_1|11|2019Y4996|1011958946|141|127-5-50.011|37-30-7.062|4|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|60|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼전그나라빌딩AAU_1|11|201934626|1011958947|154|127-5-47.509|37-29-59.759|6|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|20|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼전그나라빌딩AAU_3|11|201936516|1011958947|154|127-5-47.509|37-29-59.759|6|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|280|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼전그나라빌딩AAU_2|11|2019Y5463|1011958947|154|127-5-47.509|37-29-59.759|6|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|160|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|배명사거리AAU_2|11|201935303|1011958947|156|127-5-48.33|37-30-7.468|10|3|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|270|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|배명사거리AAU_1|11|2019Y4845|1011958947|156|127-5-48.33|37-30-7.468|10|3|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|180|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|배명중교2AAUS_1|11|20193BF6H|1011958948|166|127-5-34.729|37-29-59.299|6|2|9|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|0|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|배명중교2AAUS_2|11|20193BGK1|1011958948|166|127-5-34.729|37-29-59.299|6|2|9|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|0|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|시각복지관AAU_1|11|201932623|1011958948|531|127-5-38.57|37-30-21.1|0|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|120|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|시각복지관AAU_2|11|2019Y5208|1011958948|531|127-5-38.57|37-30-21.1|0|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|220|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼전AAU_1|11|201933663|1011958948|929|127-5-35.389|37-30-11.479|4|4|27|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|20|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼전AAU_3|11|2019Y6398|1011958948|929|127-5-35.389|37-30-11.479|4|4|27|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|280|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼전AAU_2|11|201938709|1011958952|527|127-5-35.389|37-30-11.479|6|4|27|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|130|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌고분역AAU_1|11|2019Y1262|1011958952|527|127-5-44.936|37-30-10.989|6|3|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|10|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|송파구민회관AAUS_1|11|20193AHYR|1011958952|527|127-5-38.182|37-30-8.852|6|3|15|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|170|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌AAU_2|11|2019Y2178|1012376985|434|127-6-4.085|37-30-25.021|10|2|30|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|160|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌한흥빌딩AAUS_2|11|20193AS1K|1012376985|434|127-6-12.21|37-30-24.879|10|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|290|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌한흥빌딩AAUS_1|11|20193AS1J|1012376985|434|127-6-12.21|37-30-24.879|10|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|220|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|배명고교AAUS_2|11|20193AISM|1012376985|457|127-5-54.98|37-30-2.149|6|3|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|120|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|배명고교AAUS_3|11|20193AISN|1012376985|457|127-5-54.98|37-30-2.149|6|3|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|300|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|배명고교AAUS_1|11|20193AIRP|1012376985|457|127-5-54.98|37-30-2.149|6|3|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|20|1|15
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌가락로AAUS_1|11|20193AI65|1012376985|461|127-6-10.506|37-29-59.228|0|3|15|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|80|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌가락로AAUS_2|11|20193AI66|1012376985|461|127-6-10.506|37-29-59.228|0|3|15|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|250|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌아리스빌라AAUS_1|11|20193AS1M|1012377020|208|127-6-9.421|37-30-18.293|6|2|15|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|170|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌아리스빌라AAUS_2|11|20193AS1H|1012377020|208|127-6-9.421|37-30-18.293|6|2|15|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|300|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌동2AAUS_1|11|20193AYPT|1012377022|478|127-5-56.074|37-30-17.745|4|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|80|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌동2AAUS_2|11|20193AYPU|1012377022|478|127-5-56.074|37-30-17.745|4|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|200|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼학사로AAUS_3|11|20193AHYH|1012377022|529|127-5-50.624|37-30-17.921|2|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|340|1|15
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼학사로AAUS_1|11|20193AITT|1012377022|529|127-5-50.624|37-30-17.921|2|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|120|1|15
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|삼학사로AAUS_2|11|20193AITU|1012377022|529|127-5-50.624|37-30-17.921|2|2|18|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|220|1|15
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌그랜드AAUS_1|11|20193AS1F|1012377022|971|127-5-51.004|37-30-22.376|0|2|21|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|50|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌그랜드AAUS_2|11|20193AS1L|1012377022|971|127-5-51.004|37-30-22.376|0|2|21|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|300|1|0
20191002|1|2|127-05-34.047|127-06-12.601|37-29-56.971|37-30-26.196|석촌호수_수변무대AAUS_1|11|20193AYRE|1012377022|971|127-5-54.119|37-30-24.283|0|2|3|AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15|0|1|0
